neuron_id,lag,time,cc,session_name,bin_width,p,sig
1993,0,0.0,0.0081257465926712,hamilton_32,1.0,0.43923611111111116,False
1997,0,0.0,0.298142910437722,hamilton_32,1.0,0.0,True
1999,0,0.0,0.2559211380087556,hamilton_32,1.0,0.0,True
2002,0,0.0,0.1692689376328406,hamilton_32,1.0,0.0,True
2293,0,0.0,0.0772672071460595,acute_15,1.0,0.0,True
2298,0,0.0,0.1582616420444151,acute_15,1.0,0.0,True
2299,0,0.0,-0.2086073649060431,acute_15,1.0,0.0,True
2305,0,0.0,0.2549972680517737,acute_15,1.0,0.0,True
2329,0,0.0,0.1681358759257363,acute_15,1.0,0.0,True
2337,0,0.0,0.0142693459461009,acute_15,1.0,0.1722553191489362,False
2339,0,0.0,0.0396725988935198,acute_15,1.0,0.0,True
2344,0,0.0,0.0356763943325633,acute_15,1.0,0.0,True
2352,0,0.0,0.1443137249316461,acute_15,1.0,0.0,True
2353,0,0.0,0.1916602429706519,acute_15,1.0,0.0,True
2354,0,0.0,0.0751639020472783,acute_15,1.0,0.0,True
2361,0,0.0,0.1677876371217408,acute_15,1.0,0.0,True
2408,0,0.0,0.1388493738871918,acute_16,1.0,0.0,True
2410,0,0.0,0.0800380082764216,acute_16,1.0,0.0,True
2411,0,0.0,0.0834804270424905,acute_16,1.0,0.0,True
2415,0,0.0,0.234314406765849,acute_16,1.0,0.0,True
2418,0,0.0,-0.0112944926214091,acute_16,1.0,0.3449297165154436,False
2420,0,0.0,0.0941312113347341,acute_16,1.0,0.0,True
2425,0,0.0,0.0318585501848789,acute_16,1.0,0.02147525676937442,True
2428,0,0.0,-0.1372315089115419,acute_16,1.0,0.0,True
2431,0,0.0,0.0340920629339818,acute_01,1.0,0.011048034934497818,True
2435,0,0.0,-0.0065497938743764,acute_01,1.0,0.587032659136678,False
2437,0,0.0,0.038781988999583,acute_01,1.0,0.0,True
2445,0,0.0,0.0943374631875162,acute_01,1.0,0.0,True
2453,0,0.0,0.024093222843388,acute_01,1.0,0.011048034934497818,True
2457,0,0.0,0.0355265755775821,acute_01,1.0,0.0,True
2458,0,0.0,0.0391011355099596,acute_01,1.0,0.0,True
2460,0,0.0,-0.0181366265797289,acute_01,1.0,0.18224576271186443,False
2461,0,0.0,-0.2043808324515179,acute_14,1.0,0.0,True
2463,0,0.0,-0.1164140935475514,acute_14,1.0,0.0,True
2464,0,0.0,0.0904180537121731,acute_14,1.0,0.0,True
2465,0,0.0,-0.032100544550591,acute_14,1.0,0.0,True
2476,0,0.0,0.0758758809145791,acute_14,1.0,0.0,True
2481,0,0.0,0.0679945790709762,acute_14,1.0,0.0,True
2485,0,0.0,0.0888523536563604,acute_14,1.0,0.0,True
2525,0,0.0,0.3867682626191158,acute_12,1.0,0.0,True
2527,0,0.0,0.1299110492953064,acute_12,1.0,0.0,True
2528,0,0.0,0.2495895407413361,acute_12,1.0,0.0,True
2529,0,0.0,0.3658078585476931,acute_12,1.0,0.0,True
2542,0,0.0,-0.0921441961523219,acute_12,1.0,0.0,True
2558,0,0.0,0.0524764402386972,acute_12,1.0,0.0,True
2563,0,0.0,0.3406140891269589,acute_12,1.0,0.0,True
2564,0,0.0,0.0051740490446434,acute_12,1.0,0.6725742135578201,False
2567,0,0.0,0.2873901869692177,acute_12,1.0,0.0,True
2569,0,0.0,0.0638348687984612,acute_12,1.0,0.0,True
2573,0,0.0,0.2972768725434855,acute_12,1.0,0.0,True
2577,0,0.0,0.0587163014318873,acute_12,1.0,0.021810344827586207,True
2578,0,0.0,0.3290771608769138,acute_12,1.0,0.0,True
2585,0,0.0,0.0720976283347377,acute_12,1.0,0.0,True
2587,0,0.0,0.0410854701100711,acute_12,1.0,0.0,True
2588,0,0.0,0.1660853592006345,acute_12,1.0,0.0,True
2593,0,0.0,0.2221800930043506,acute_11,1.0,0.0,True
2594,0,0.0,0.0923875440429894,acute_11,1.0,0.0,True
2598,0,0.0,0.0833209716715607,acute_11,1.0,0.0,True
2601,0,0.0,0.0327936798605934,acute_11,1.0,0.08479973185855538,False
2603,0,0.0,0.1932983119539651,acute_11,1.0,0.0,True
2604,0,0.0,0.0755199137978083,acute_11,1.0,0.0,True
2605,0,0.0,0.1625062683350198,acute_11,1.0,0.0,True
2606,0,0.0,0.1572770767813799,acute_11,1.0,0.0,True
2607,0,0.0,0.2124156549725764,acute_11,1.0,0.0,True
2611,0,0.0,0.0765915593836994,acute_11,1.0,0.0,True
2612,0,0.0,-0.0731284216385664,acute_11,1.0,0.0,True
2613,0,0.0,-0.0154568718057983,acute_11,1.0,0.24449579831932775,False
2616,0,0.0,0.0740803614673519,acute_11,1.0,0.0,True
2620,0,0.0,0.0031360932041332,acute_11,1.0,0.7848163265306122,False
2621,0,0.0,0.0454870574624875,acute_11,1.0,0.0,True
2623,0,0.0,0.1668762740806999,acute_11,1.0,0.0,True
2627,0,0.0,-0.0497932649124198,acute_11,1.0,0.0,True
2630,0,0.0,-0.1312841208540353,acute_11,1.0,0.0,True
